actor_id,actor_name,genres
nm0000212,Meg Ryan,"['Comedy', 'Fantasy', 'Romance']"
nm0413168,Hugh Jackman,"['Comedy', 'Fantasy', 'Romance']"
nm0000630,Liev Schreiber,"['Comedy', 'Fantasy', 'Romance']"
nm0005227,Breckin Meyer,"['Comedy', 'Fantasy', 'Romance']"
nm0864851,Kenneth Tobey,"['Comedy', 'Horror', 'Sci-Fi']"
nm0828288,Brinke Stevens,"['Comedy', 'Horror', 'Sci-Fi']"
nm0933983,R.G. Wilson,"['Comedy', 'Horror', 'Sci-Fi']"
nm0329491,John Goodwin,"['Comedy', 'Horror', 'Sci-Fi']"
nm0000417,Crispin Glover,['Drama']
nm0000603,Vanessa Redgrave,['Drama']
nm0000457,John Hurt,['Drama']
nm0452288,Margot Kidder,['Drama']
nm0001002,Dean Cain,"['Action', 'Adventure', 'Drama']"
nm0001299,Thomas Ian Griffith,"['Action', 'Adventure', 'Drama']"
nm0923529,Justin Whalin,"['Action', 'Adventure', 'Drama']"
nm0936365,Jodi Bianca Wise,"['Action', 'Adventure', 'Drama']"
nm0006763,Jackie Shroff,"['Action', 'Crime', 'Drama']"
nm0007113,Nana Patekar,"['Action', 'Crime', 'Drama']"
nm0310173,Kumar Gaurav,"['Action', 'Crime', 'Drama']"
nm0412917,Jaaved Jaaferi,"['Action', 'Crime', 'Drama']"
nm1142237,Rosa Navarra,"['Comedy', 'Romance']"
nm0321320,Rudy Giuliani,"['Comedy', 'Romance']"
nm0001123,Dom DeLuise,"['Comedy', 'Romance']"
nm0898634,Frank Vincent,"['Comedy', 'Romance']"
nm0269451,Kenneth Favre,"['Comedy', 'Romance']"
nm0803374,Gerry Sanseviero,"['Comedy', 'Romance']"
nm1315804,Todo Segalla,"['Comedy', 'Romance']"
nm0803138,Antonia Sisti,"['Comedy', 'Romance']"
nm0001324,Ian Hart,"['Drama', 'Romance']"
nm0920148,Claudia Wells,"['Drama', 'Romance']"
nm0115304,Lina Broydo,"['Drama', 'Romance']"
nm0203349,Ian Davidson,"['Drama', 'Romance']"
nm0427470,Andras Jones,"['Comedy', 'Horror', 'Mystery']"
nm0001293,Seth Green,"['Comedy', 'Horror', 'Mystery']"
nm0001062,Jeffrey Combs,"['Comedy', 'Horror', 'Mystery']"
nm0732133,Wendy Robie,"['Comedy', 'Horror', 'Mystery']"
nm0000199,Al Pacino,['Drama']
nm0001583,Jerry Orbach,['Drama']
nm0283299,Susan Floyd,['Drama']
nm0568375,Ellen McElduff,['Drama']
nm0000849,Javier Bardem,"['Crime', 'Drama', 'Thriller']"
nm0603090,Laura Morante,"['Crime', 'Drama', 'Thriller']"
nm0098709,Juan Diego Botto,"['Crime', 'Drama', 'Thriller']"
nm0617799,Elvira Mínguez,"['Crime', 'Drama', 'Thriller']"
nm0089231,Scott Bloom,"['Comedy', 'Drama']"
nm0175305,Kevin Connolly,"['Comedy', 'Drama']"
nm0001497,Tobey Maguire,"['Comedy', 'Drama']"
nm0000138,Leonardo DiCaprio,"['Comedy', 'Drama']"
nm0000639,Ally Sheedy,['Comedy']
nm0641168,Brian O'Halloran,['Comedy']
nm0377888,Justin Henry,['Comedy']
nm0290969,Jason David Frank,['Comedy']
nm0000461,Michael Ironside,"['Action', 'Adventure', 'Animation']"
nm0001781,Julie Strain,"['Action', 'Adventure', 'Animation']"
nm0002150,Billy Idol,"['Action', 'Adventure', 'Animation']"
nm0463233,Pier Paquette,"['Action', 'Adventure', 'Animation']"
nm0001108,Robert Davi,"['Adventure', 'Family', 'Fantasy']"
nm0001456,Kelly LeBrock,"['Adventure', 'Family', 'Fantasy']"
nm0852082,Byron Taylor,"['Adventure', 'Family', 'Fantasy']"
nm1325216,Roxanne Burger,"['Adventure', 'Family', 'Fantasy']"
nm0000450,Philip Seymour Hoffman,"['Comedy', 'Drama']"
nm0000513,William H. Macy,"['Comedy', 'Drama']"
nm0682071,Rebecca Pidgeon,"['Comedy', 'Drama']"
nm0383449,Michael Higgins,"['Comedy', 'Drama']"
nm0641168,Brian O'Halloran,"['Crime', 'Drama', 'Thriller']"
nm0424682,Bryan Johnson,"['Crime', 'Drama', 'Thriller']"
