actor_id,actor_name,degree_centrality,betweenness_centrality,degree
nm0000212,Meg Ryan,0.0009921529719491295,0.00010817323278372648,33
nm0413168,Hugh Jackman,0.0023150236012146356,0.0008401387816423568,77
nm0000630,Liev Schreiber,0.0021045669101951233,0.0013004652849729697,70
nm0005227,Breckin Meyer,0.0009620877303749136,0.0002620498870002219,32
nm0864851,Kenneth Tobey,9.019572472264814e-05,0.0,3
nm0828288,Brinke Stevens,0.0039385466462223025,0.011685264165379048,131
nm0933983,R.G. Wilson,9.019572472264814e-05,0.0,3
nm0329491,John Goodwin,9.019572472264814e-05,0.0,3
nm0000417,Crispin Glover,0.0015333273202850185,0.0007342936735434748,51
nm0000603,Vanessa Redgrave,0.0012026096629686419,0.0010069192527511095,40
nm0000457,John Hurt,0.0016836535281560987,0.000911016004385409,56
nm0452288,Margot Kidder,0.0003607828988905926,6.514648237997254e-05,12
nm0001002,Dean Cain,0.005982983073268994,0.020270265210618338,199
nm0001299,Thomas Ian Griffith,9.019572472264814e-05,0.0,3
nm0923529,Justin Whalin,0.0002705871741679444,6.050936032602737e-05,9
nm0936365,Jodi Bianca Wise,9.019572472264814e-05,0.0,3
nm0006763,Jackie Shroff,0.0015032620787108024,0.001034805500025001,50
nm0007113,Nana Patekar,0.0009620877303749136,0.00045805254201838013,32
nm0310173,Kumar Gaurav,9.019572472264814e-05,0.0,3
nm0412917,Jaaved Jaaferi,0.0009019572472264815,0.006915647047446842,30
nm1142237,Rosa Navarra,0.00021045669101951234,0.0,7
nm0321320,Rudy Giuliani,0.00021045669101951234,0.0,7
nm0001123,Dom DeLuise,0.00030065241574216047,0.0003037401559914664,10
nm0898634,Frank Vincent,0.0012026096629686419,0.0024496880591919515,40
nm0269451,Kenneth Favre,0.00021045669101951234,0.0,7
nm0803374,Gerry Sanseviero,0.00021045669101951234,0.0,7
nm1315804,Todo Segalla,0.00021045669101951234,0.0,7
nm0803138,Antonia Sisti,0.00021045669101951234,0.0,7
nm0001324,Ian Hart,0.0011725444213944258,0.0022689692584943427,39
nm0920148,Claudia Wells,9.019572472264814e-05,0.0,3
nm0115304,Lina Broydo,9.019572472264814e-05,0.0,3
nm0203349,Ian Davidson,9.019572472264814e-05,0.0,3
nm0427470,Andras Jones,9.019572472264814e-05,0.0,3
nm0001293,Seth Green,0.0010522834550975616,0.00021356938635412487,35
nm0001062,Jeffrey Combs,0.0011424791798202098,0.0005474510669080301,38
nm0732133,Wendy Robie,0.0001803914494452963,4.400389955761281e-06,6
nm0000199,Al Pacino,0.001833979736027179,0.002781946685858626,61
nm0001583,Jerry Orbach,9.019572472264814e-05,0.0,3
nm0283299,Susan Floyd,9.019572472264814e-05,0.0,3
nm0568375,Ellen McElduff,9.019572472264814e-05,0.0,3
